SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
APLLTD,2024-12-31,6,8.0,33654,65243.0,-21.0,-48.0,N,Y,0.894855,1.805869,4,4,17,5,2,8,6
APOLLO,2024-12-31,213,130.0,5957519,943113.0,64.0,531.0,N,N,22.5,22.5,6,4,15,3,4,4,10
APOLLOHOSP,2024-12-31,6,6.0,112837,153302.0,-6.0,-26.0,Y,Y,0.390371,3.591809,7,7,11,3,4,8,6
APOLLOPIPE,2024-12-31,12,17.0,9245,24768.0,-30.0,-62.0,N,N,-2.0,0.0,5,5,15,4,3,6,8
APOLLOTYRE,2024-12-31,30,48.0,92175,755963.0,-38.0,-87.0,Y,Y,-0.884956,1.818182,9,2,14,3,4,7,7
APOLSINHOT,2024-12-31,7,4.0,1854,1162.0,60.0,59.0,N,N,-4.116866,-5.124836,7,8,10,0,7,4,10
APTECHT,2024-12-31,51,57.0,63357,119976.0,-10.0,-47.0,N,N,0.0,6.944444,7,4,14,1,6,3,11
APTUS,2024-12-31,27,40.0,708089,762785.0,-31.0,-7.0,N,Y,-5.426357,-3.937008,2,6,17,1,6,3,11
ARCHIDPLY,2024-12-31,30,44.0,6762,29452.0,-31.0,-77.0,N,N,-5.882353,4.347826,5,7,13,3,4,5,9
ARCHIES,2024-12-31,70,,22246,,,,N,N,-9.090909,-9.090909,6,5,14,0,1,0,1
ARE&M,2024-12-31,12,13.0,157986,221339.0,-9.0,-28.0,N,Y,-0.19685,-5.05618,6,6,13,3,4,6,8
ARIHANTCAP,2024-12-31,69,90.0,69408,168358.0,-23.0,-58.0,N,N,0.0,-6.666667,5,6,14,2,5,4,10
ARIHANTSUP,2024-12-31,32,29.0,55060,48531.0,8.0,13.0,N,N,6.451613,7.608696,9,2,14,1,6,4,10
ARKADE,2024-12-31,99,99.0,463407,1126263.0,0.0,-58.0,N,N,5.797101,7.352941,10,2,13,4,3,8,6
ARMANFIN,2024-12-31,5,7.0,14044,15473.0,-19.0,-9.0,N,N,-1.691729,-4.562044,7,6,12,1,6,4,10
AROGRANITE,2024-12-31,29,28.0,8216,7384.0,2.0,11.0,N,N,0.0,-4.761905,6,7,12,2,5,2,12
ARROWGREEN,2024-12-31,12,15.0,20981,26520.0,-16.0,-20.0,N,N,-4.87106,-7.520891,5,6,14,3,4,7,7
ARTEMISMED,2024-12-31,23,34.0,17355,74475.0,-30.0,-76.0,N,N,-2.919708,-2.205882,5,3,17,5,2,8,6
ARVEE,2024-12-31,14,32.0,852,3671.0,-54.0,-76.0,N,N,-3.947368,-13.095238,7,4,14,3,4,6,7
ARVIND,2024-12-31,18,23.0,129934,347533.0,-20.0,-62.0,N,N,-0.571429,0.0,7,3,15,3,4,6,8
