Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
TATAELXSI,100,921500,82100,821.0,9.780796,271300,15500,155.0,6.059421,387000,70400,704.0,22.23626,6646.29,6647.55,4.541935,48.56,-0.008605,0.006137,0.016606,Possible Sell,None,Strong. Price Close Above VWAP.
TATAMOTORS,550,105210050,-1494350,-2717.0,-1.400458,33512600,4746500,8630.0,16.500325,45162700,247500,450.0,0.551038,786.86,790.4,0.052144,25.13,0.033135,0.03802,0.01274,Possible Buy,Possible Buy,Strong. Price Close Above VWAP.
TATAPOWER,1350,91860750,2038500,1510.0,2.269482,26862300,1367550,1013.0,5.364046,37656900,2007450,1487.0,5.631083,398.44,396.65,1.467917,44.1,0.002908,0.003035,0.015635,None,None,Weak. Price Close Below VWAP.
TATASTEEL,5500,241147500,3839000,698.0,1.617725,116231500,2579500,469.0,2.269648,140866000,9872500,1795.0,7.536633,138.69,138.36,3.827292,37.81,0.001303,0.003772,0.009805,None,None,Weak. Price Close Below VWAP.
TCS,175,10984750,307125,1755.0,2.876342,4127550,137900,788.0,3.456444,5522475,412300,2356.0,8.068217,4114.17,4099.9,2.989848,54.91,-0.018164,0.001857,0.019151,None,None,Weak. Price Close Below VWAP.
TECHM,600,11514600,554400,924.0,5.058302,2799600,120600,201.0,4.50168,4674000,207600,346.0,4.648039,1693.01,1689.45,1.721393,57.98,-0.021715,0.004818,0.023355,None,Possible Sell,Weak. Price Close Below VWAP.
TIINDIA,150,564300,45000,300.0,8.665511,65400,150,1.0,0.229885,101850,5550,37.0,5.76324,3631.68,3609.65,37.0,53.9,-0.0171,0.004075,0.022729,None,Possible Sell,Weak. Price Close Below VWAP.
TITAN,175,8367450,171500,980.0,2.092497,2082500,281400,1608.0,15.623785,2806125,351400,2008.0,14.315249,3447.09,3451.65,1.248756,54.78,0.018501,0.021818,0.008702,None,Possible Buy,Strong. Price Close Above VWAP.
TORNTPHARM,250,1883750,45250,181.0,2.461246,243250,13000,52.0,5.646037,419750,-9250,-37.0,-2.156177,3404.15,3402.85,-0.711538,49.5,-0.011245,0.007207,0.017937,None,None,Weak. Price Close Below VWAP.
TRENT,100,3324300,4400,44.0,0.132534,1001100,106500,1065.0,11.904762,1302700,230800,2308.0,21.531859,7374.19,7307.7,2.167136,39.03,-0.001817,0.003791,0.024736,None,Possible Sell,Weak. Price Close Below VWAP.
TVSMOTOR,350,8988700,-50050,-143.0,-0.553727,1549450,36400,104.0,2.405737,1768900,105700,302.0,6.355219,2485.64,2482.95,2.903846,55.37,-0.007396,0.006261,0.012351,None,None,Weak. Price Close Below VWAP.
UBL,400,1426800,-25600,-64.0,-1.7626,421600,69600,174.0,19.772727,826000,232000,580.0,39.057239,2132.74,2128.1,3.333333,43.75,-0.004002,0.005338,0.009057,None,None,Weak. Price Close Below VWAP.
ULTRACEMCO,50,2510750,-10850,-217.0,-0.430282,378800,23600,472.0,6.644144,522500,19050,381.0,3.783891,11783.74,11786.0,0.807203,63.35,-0.000992,0.006232,0.006378,None,None,Strong. Price Close Above VWAP.
UNIONBANK,4425,28408500,1252275,283.0,4.611374,12673200,2832000,640.0,28.776978,19045200,6358725,1437.0,50.122079,124.93,124.06,2.245312,31.24,0.021827,0.014889,0.021994,None,Possible Sell,Weak. Price Close Below VWAP.
UNITDSPR,350,10966900,65100,186.0,0.597149,1068550,40250,115.0,3.914227,1394050,-4550,-13.0,-0.325325,1678.46,1682.45,-0.113043,63.43,-0.003613,0.009601,0.010324,None,None,Strong. Price Close Above VWAP.
