TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Britannia Industries Limited (XNSE:BRITANNIA),BRITANNIA,NSE:BRITANNIA,4846.7,4850.0,98.25,101.7,5049.95,4650.05,199.95,4.13%
BSE Limited (XNSE:BSE),BSE,NSE:BSE,5361.5,5400.0,215.1,251.2,5866.3,4933.7,466.3,8.7%
BIRLASOFT LIMITED (XNSE:BSOFT),BSOFT,NSE:BSOFT,553.95,550.0,21.0,16.85,587.85,512.15,37.85,6.83%
Computer Age Management Services Limited (XNSE:CAMS),CAMS,NSE:CAMS,5089.25,5100.0,182.65,187.6,5470.25,4729.75,370.25,7.28%
Canara Bank (XNSE:CANBK),CANBK,NSE:CANBK,101.83,102.0,3.15,3.25,108.4,95.6,6.4,6.28%
Can Fin Homes Limited (XNSE:CANFINHOME),CANFINHOME,NSE:CANFINHOME,725.6,730.0,20.95,25.05,776.0,684.0,46.0,6.34%
Central Depository Services (India) Limited (XNSE:CDSL),CDSL,NSE:CDSL,1810.35,1820.0,61.7,69.4,1951.1,1688.9,131.1,7.24%
CESC Limited (XNSE:CESC),CESC,NSE:CESC,186.91,187.5,,7.1,,,7.1,3.8%
CG Power and Industrial Solutions Limited (XNSE:CGPOWER),CGPOWER,NSE:CGPOWER,740.35,740.0,27.3,27.2,794.5,685.5,54.5,7.36%
Chambal Fertilizers & Chemicals Limited (XNSE:CHAMBLFERT),CHAMBLFERT,NSE:CHAMBLFERT,502.65,500.0,17.6,14.7,532.3,467.7,32.3,6.43%
Cholamandalam Investment and Finance Company Limited (XNSE:CHOLAFIN),CHOLAFIN,NSE:CHOLAFIN,1325.65,1320.0,45.75,39.9,1405.65,1234.35,85.65,6.46%
Cipla Limited (XNSE:CIPLA),CIPLA,NSE:CIPLA,1516.15,1520.0,35.1,39.7,1594.8,1445.2,74.8,4.93%
Coal India Limited (XNSE:COALINDIA),COALINDIA,NSE:COALINDIA,395.95,395.0,10.15,9.15,414.3,375.7,19.3,4.87%
Coforge Limited (XNSE:COFORGE),COFORGE,NSE:COFORGE,9684.2,9700.0,323.3,343.4,10366.7,9033.3,666.7,6.88%
Colgate Palmolive (India) Limited (XNSE:COLPAL),COLPAL,NSE:COLPAL,2828.4,2820.0,82.95,76.2,2979.15,2660.85,159.15,5.63%
Container Corporation of India Limited (XNSE:CONCOR),CONCOR,NSE:CONCOR,788.0,790.0,21.05,22.1,833.15,746.85,43.15,5.48%
Coromandel International Limited (XNSE:COROMANDEL),COROMANDEL,NSE:COROMANDEL,1970.45,1980.0,50.25,62.5,2092.75,1867.25,112.75,5.72%
Crompton Greaves Consumer Electricals Limited (XNSE:CROMPTON),CROMPTON,NSE:CROMPTON,369.1,370.0,10.8,11.35,392.15,347.85,22.15,6.0%
City Union Bank Limited (XNSE:CUB),CUB,NSE:CUB,175.9,175.0,5.05,4.15,184.2,165.8,9.2,5.23%
Cummins India Limited (XNSE:CUMMINSIND),CUMMINSIND,NSE:CUMMINSIND,3233.3,3250.0,92.35,107.2,3449.55,3050.45,199.55,6.17%
Cyient Limited (XNSE:CYIENT),CYIENT,NSE:CYIENT,1772.4,1780.0,65.0,70.75,1915.75,1644.25,135.75,7.66%
Dabur India Limited (XNSE:DABUR),DABUR,NSE:DABUR,527.8,530.0,12.0,13.75,555.75,504.25,25.75,4.88%
Dalmia Bharat Limited (XNSE:DALBHARAT),DALBHARAT,NSE:DALBHARAT,1812.55,1820.0,53.25,60.35,1933.6,1706.4,113.6,6.27%
Deepak Nitrite Limited (XNSE:DEEPAKNTR),DEEPAKNTR,NSE:DEEPAKNTR,2467.4,2450.0,80.3,62.35,2592.65,2307.35,142.65,5.78%
Delhivery Limited (XNSE:DELHIVERY),DELHIVERY,NSE:DELHIVERY,336.75,335.0,12.0,10.1,357.1,312.9,22.1,6.56%
Divi's Laboratories Limited (XNSE:DIVISLAB),DIVISLAB,NSE:DIVISLAB,6082.65,6100.0,141.95,156.9,6398.85,5801.15,298.85,4.91%
Dixon Technologies (India) Limited (XNSE:DIXON),DIXON,NSE:DIXON,18505.2,18500.0,668.35,657.55,19825.9,17174.1,1325.9,7.17%
DLF Limited (XNSE:DLF),DLF,NSE:DLF,832.95,830.0,25.05,21.65,876.7,783.3,46.7,5.61%
